P00001606T0076|14 50|alkaline phosphatases and 5-nucleotidase
P10748125A0000|53 92|type 1 protein serine/threonine phosphatases
P10748125A0000|94 96|PP1
P10748125A0000|31 33|I-2
P10749145T0000|121 159|extracellular signal-regulated kinase ERK1
P10749145T0000|106 108|Ras
P10749145T0000|25 36|PCPH proteins
P10749849A0000|45 56|p53 maintains
P10749849A0000|155 163|WAF1/Cip1
P10749849A0000|120 153|cyclin-dependent kinase inhibitor p21
P10750020A0843|29 30|ER
P10750020A0843|5 16|growth factor
P10751398A1135|29 42|c-IAP2 promoter
P10751398A1135|70 114|CD40 or Epstein-Barr virus latent membrane protein 1
P10752475A1376|134 152|anti-CD20 antibodies
P10756032A0599|38 52|cyclin E promoter
P10756100A0457|39 41|IB1
P10756225A1464|132 139|IL-5 mRNA
P10757983A0733|125 153|Kruppel-like zinc finger protein
P10757983A0733|96 104|Adx factor
P10758489A0206|28 31|ICK2
P10760109A1050|139 142|SAlb
P10760109A1050|185 194|hemoglobin
P10760109A1050|150 154|IGF-1
P10760169A1142|25 33|CreA sites
P10760950A1133|93 97|actin
P10762254A0954|65 88|MMA methyltransferase gene
P10762348A0269|21 32|STAT proteins
P10763827A1158|90 97|TGFbeta1
P10763827A1158|64 74|ras oncogene
P10764150A0000|67 76|Raf kinases
P10764729A1846|25 42|human betaV spectrin
P10764760T0000|64 66|JNK
P10764802A1258|43 46|Kip2
P10764802A1258|216 219|Kip2
P10764802A1258|70 84|Cip/Kip proteins
P10764970A1009|21 45|quinupristin/dalfopristin
P10765095A0308|200 202|PRL
P10766246A0000|0 24|Integrin adhesion receptors
P10767338T0000|41 46|ATP2C1
P10767553A0100|120 127|HNF3beta
P10767553A0100|91 118|Hepatocyte Nuclear Factor 3beta
P10767560A0105|126 141|mouse Pkr promoter
P10767560A0105|77 88|mouse Pkr gene
P10771528T0036|18 36|alkaline phosphatase
P10771709A0291|132 134|IgG
P10771709A0291|90 92|IgM
P10772977A0222|27 37|PVX CP mutant
P10773351A0672|53 61|IFN-gamma
P10773351A0672|11 14|CD86
P10773455A1268|105 122|mouse ALAS2 promoter
P10773667A0351|3 11|HMG domain
P10773667A0351|18 30|HMG20 proteins
P10773951A0000|17 29|anti B antibody
P10773951A0000|6 13|IgG anti A
P10775623A0120|50 57|env genes
P10777217A0536|65 67|p53
P10777217A0536|140 151|PIG3 promoter
P10777217A0536|37 48|PIG3 promoter
P10777586A1022|59 61|Sp1
P10777669A0582|3 12|ZNF274 gene
P10777669A0582|35 40|RP S28 1
P10778740A1493|149 168|HIS3 chromosomal locus
P10778757A0000|90 99|Miniature1
P10778757A0000|101 103|Mn1
P10779352T0000|22 32|E2F3 product
P10779352T0000|90 99|Rb proteins
P10779508A0452|2 7|DNase I
P10779508A0897|36 40|GRIP1
P10779508T0000|120 139|human lactoferrin gene
P10779508T0000|0 37|Estrogen receptor-related receptor alpha 1
P10780883T0000|115 130|interferon-alpha
P10780883T0000|42 67|interferon regulatory factor
P10781423A0993|72 129|homeodomain transcription factor thyroid transcription factor-1
P10781423A0993|131 135|TTF-1
P10781604A0827|89 100|Rsp5 WW domain
P10786671A0182|108 142|human telomerase reverse transcriptase
P10786671A0182|23 32|telomerase
P10787437A1616|69 73|SRE-1
P10788320A1034|163 173|U4/U6 snRNPs
P10788320A1034|158 159|U5
P10788320A1034|23 33|TPR elements
P10788476A0891|43 67|Sec31A co-precipitate Sec13
P10788476A0891|136 143|G protein
P10788480T0000|12 61|mitochondrial single-stranded DNA-binding protein gene
P10791901A0609|98 105|MRP1 gene
P10792583A0000|110 113|ACTH
P10792583A0000|12 43|pituitary vasopressin V1b receptors
P10792718T0000|18 30|AfsA homologue
P10793143A1533|57 75|Abf1 ARS1 DNA-binding
P10793143A1533|106 120|Cdc6 DNA-binding
P10793991A0569|30 32|Web
P10794405A0000|59 67|histone H1
P10799501A1391|74 77|SPRK
P10799501A1391|90 94|Cdc42
P10799590A0431|165 171|EBNA-3C
P10799595A1454|74 88|HPV-6 E1 promoter
P10799595A1454|9 11|YY1
P10799863T0000|91 116|endogenous MHC class I antigen
P10799879T0000|78 96|Src homology 2 domains
P10801482A0968|14 16|p65
P10801809T0000|75 86|PHO5 promoter
P10801860A0000|25 71|I-type lectins (immunoglobulin superfamily proteins
P10805286A0233|50 61|human PCI gene
P10805286A0914|12 18|PCI mRNA
P10805286A0914|116 122|PCI mRNA
P10805286A0914|66 75|rat PCI cDNA
P10805729A0987|81 84|DDP1
P10805737T0000|20 56|mammalian translation initiation factor 5
P10805738A0799|265 268|MyoD
P10805738A0799|51 59|p38 kinase
P10805738A0799|25 27|p38
P10805738A0799|140 142|p38
P10805738A0799|182 203|Gal4-MyoD fusion protein
P10805738A0799|43 46|MyoD
P10805747A0633|75 79|Hsl1p
P10805747A0633|83 87|Kcc4p
P10807903A0362|0 4|D5/D1
P10807903A0362|123 133|D1 receptors
P10807903A0362|221 233|wt D1 receptors
P10809233A0606|95 96|H4
P10809233A0606|60 62|H12
P10810083A1283|3 28|serine-threonine kinase gene
P10810294A0730|31 34|IL-6
P10810294A0730|26 27|GH
P10811804A0000|0 47|Mitogen-activated protein (MAP) kinase phosphatase-3
P10811804A0000|135 137|ERK
P10811804A0000|49 53|MKP-3
P10811804A0000|139 148|MAP kinases
P10811804A0800|86 90|Elk-1
P10811804A0800|134 138|MKP-3
P10811908A0938|87 90|NCLK
P10811908A0938|114 116|I-1
P10815410A0000|120 122|TNF
P10815410A0000|108 111|IL-1
P10815410A0000|113 116|IL-6
P10815807A1271|54 66|c-Myb promoter
P10819327T0000|22 26|KAP-1
P10819327T0000|65 100|mouse KIF3A/KIFB/KAP3 kinesin complexes
P10823837A1213|164 168|Mcd4p
P10823961A0664|97 100|TRBP
P10823961A0664|36 42|DRIP130
P10823961A0664|14 17|TRBP
P10825200T0000|49 52|IL-2
P10825294A0473|63 65|MDR
P10825294A0473|11 20|OC promoter
P10825294A0473|73 84|BSP promoters
P10826861A0000|3 34|monoclonal immunoglobulin products
P10826946A1198|125 130|human V
P10827952A0158|18 25|TAFII250
P10827952A0158|46 50|TFIID
P10828022A0877|72 74|Shb
P10828591A0080|132 142|uteroglobin
P10831972A1091|62 65|CD23
P10833486A0598|84 85|OR
P10833486A0598|50 51|OR
P10833486A0598|93 115|alanine aminotransferase
P10833486A0598|127 128|OR
P10834707A1533|32 55|platelet activating factor
P10835355A0225|150 153|SSA3
P10835355A0225|18 38|zinc finger protein Gis1
P10836786A0516|131 141|RNase MRP RNA
P10836786A0516|114 117|MRP3
P10836786A0516|145 153|RNase P RNA
P10840001A0188|0 8|Mucin gene
P10843716A0406|73 78|mastin
P10843716A0406|3 15|tryptase locus
P10843810A0802|75 103|human tyrosine phosphatase 1 gene
P10846069T0000|50 77|human parainfluenza virus type 3
P10848605T0000|118 129|Eph receptors
P10848993A0000|35 61|methylmalonyl-CoA mutase gene
P10848993A0000|179 207|serine/threonine protein kinase
P10850329A0248|0 3|IL-2
P10850453A0713|88 96|TGF-beta1
P10850453A0713|113 121|TGF-beta1
P10850453A0713|99 105|TSU-Pr1
P10850453A1292|57 64|Ras/MAPK
P10850719A0680|114 125|Vbeta 23-RSSs
P10851267A0000|0 4|E2F -1
P10854004A0788|44 46|HRT
P10854004A0788|38 40|ERT
P10854004A0788|79 91|angiotensin II
P10854699A0424|32 52|full-length FGF-AS mRNA
P10855690A0870|38 46|MAP kinase
P10855796A1160|67 75|EphA8 gene
P10857215A0806|3 7|MRS II
P10857262A0186|100 131|BTB protein-protein-binding domain
P10857751A0304|89 94|CEHARP
P10857751A0304|114 128|GenBank database
P10860752A1601|104 118|T4 DNA polymerase
P10860827A0399|101 104|CSX1
P10860846A0480|46 65|AP2 core binding region
P10860846A0480|106 108|AP2
P10860846A0480|137 139|AP2
P10860846A0480|166 180|HGF gene promoter
P10861080A0433|38 49|IkappaBalpha
P10861080A0433|81 89|TNF-alpha
P10861080A0433|25 36|IkappaBalpha
P10861086A0259|88 96|Src kinase
P10861906A0999|85 88|IME1
P10861906A0999|136 139|IME1
P10861906A1479|91 94|CCL1
P10861909A0502|174 185|nmt1 promoter
P10861909A0502|54 84|Saccharomyces cerevisiae LEU 2 gene
P10862289A0289|101 110|A60 antigen
P10864496A0401|71 91|nrgAB promoter fragment
P10864641A1400|72 81|HA molecule
P10865422A0138|16 28|serum ferritin
P10865422A0138|34 43|hemoglobin
P10865422A0138|45 46|Hb
P10865838A0000|8 30|endothelial growth factor
P10865940A0000|89 90|EC
P10866323A0666|28 32|SIE-1
P10866323A0666|69 72|STAT
P10866689A0295|97 99|pRb
P10866689A0295|5 7|pRb
P10870043A0621|22 25|GnRH
P10871045A1221|100 115|C/EBPbeta protein
P10871045A1221|18 26|C/EBPbeta
P10871045A1221|119 127|C/EBPbeta
P10871379A0261|6 9|VP16
P10871379A0261|61 63|HCF
P10872473A2286|41 47|XH2 gene
P10872827A0000|0 16|Penicillin acylase
P10872831A0000|97 107|EST database
P10872831A0000|51 72|erythropoietin receptor
P10873158A0000|12 24|nuclear factor
P10873386A0000|45 53|mouse gene
P10873387A0816|19 27|human gene
P10873387A0816|81 102|mouse synaptophysin gene
P10873388A0623|7 23|human Rhotekin cDNA
P10874044A0647|73 76|ERK2
P10874044A0647|68 71|ERK1
P10874044A0647|78 81|JNK1
P10874044A0647|51 58|p38alpha
P10874044A0647|85 88|JNK2
P10874151A0000|34 36|GKR
P10878398A0542|23 25|Epo
P10878398A0542|104 106|Epo
P10878944A0000|0 29|ID-PaGIA diphtheria toxin polymer
P10880486A0790|101 109|RhoA locus
P10881275T0000|10 17|serum IgM
P10882850A0000|0 14|Endonuclease III
P10885750A0236|51 56|CREB-2
P10887921A0718|75 78|SWAP
P10890911A0470|131 153|Xenopus homeobox gene twin
P10890911A0470|62 65|LEF1
P10890911A0470|73 79|TGFbeta
P10890911A0470|48 59|HMG box domain
P10891266A0421|0 4|ACE-2
P10891286A0000|87 110|actin/myosin cytoskeleton
P10891286A0000|12 45|titin/myosin light chain kinase family
P10891399A1185|152 156|c-fos
P10891399A1185|69 71|p21
P10891399A1185|116 123|AP-1 site
P10891399A1185|73 81|Cip1/WAF1
P10891441A0871|63 66|Sos1
P10891441A0871|68 71|SHIP
P10891441A0871|58 61|Grb2
P10891489A0152|32 46|HMG-I/Y proteins
P10893243T0000|30 90|mouse cytosolic chaperonin subunit gene Ccta/t-complex polypeptide 1
P10893243T0000|93 167|selenocysteine tRNA gene transcription activating factor family zinc finger proteins
P10894149T0000|125 163|orphan receptors SF1 (steroidogenic factor 1
P10894149T0000|168 207|ERRalpha1 (estrogen related receptor alpha-1
P10894816A0836|122 125|IL-6
P10897973T0001|0 14|Antithrombin III
P10897973T0001|78 92|antithrombin III
P10898795A0527|17 37|II histone deacetylases
P10898795A0527|63 66|BCoR
P10898795A0527|82 85|BCoR
P10899128A0661|150 162|mammalian gene
P10899142A0000|121 144|G protein-coupled receptor
P10899142A0000|213 218|DLGR-2
P10899142A0000|165 170|DLGR-1
P10900269A0396|91 97|TK genes
P10903440A0515|26 31|TSGF-2
P10903733A0540|87 107|TNFR-associated factor
P10903733A0540|116 120|TRAF2
P10903733A0540|125 144|TRAF3 adaptor proteins
P10903837A1208|70 73|VSX1
P10903837A1208|8 15|RINX gene
P10903837A1208|79 87|Human Gene
P10903837A1208|39 54|goldfish Vsx1 gene
P10903843A0447|119 128|Kcnq1 genes
P10903843A0447|111 115|Tapa1
P10903877A0879|66 76|calphostin C
P10903877A0879|136 144|ERK kinase
P10903877A0879|12 14|PKA
P10903877A0879|61 63|PKC
P10904191A0000|66 70|AMP CT
P10904191A0000|103 104|CA
P10905349A0329|0 5|Mus81p
P10905349A0329|44 69|XPF endonuclease superfamily
P10905349A0609|41 46|Mus81p
P10905349A0609|32 37|Rad54p
P10907348A0508|68 70|PTH
P10907971A0806|36 51|HMG-CoA reductase
P10907971T0000|28 43|HMG-CoA reductase
P10909973A1508|68 74|M1-CREB
P10909973A1508|22 26|GLP-1
P10910908A0767|91 93|EPO
P10913276A0510|77 95|PLC-gamma1 SH3 domain
P10913276A0510|40 43|SOS1
P10913276A0684|56 64|SH3 domain
P10913276A0684|67 76|PLC-gamma1
P10913276A0684|109 112|SOS1
P10913304A0894|59 62|Elk1
P10913304A0894|39 42|Fli1
P10913304A0894|67 69|PE1
P10913304A0894|54 57|SAP1
P10913304A0894|34 37|Ets2
P10913304A0894|44 52|GABPalpha
P10913304A1180|128 130|PE1
P10915780A1063|0 4|Wnt-1
P10915780A1063|154 161|cyclin D1
P10915780A1063|140 142|ILK
P10915780A1063|50 61|cyclin D1 mRNA
P10915780A1063|89 93|Wnt-1
P10918059A0569|13 21|RVH domain
P10918440T0000|38 72|granulocyte colony-stimulating factor
P10918572A0794|57 61|ErbB3
P10918572A0794|51 55|ErbB1
P10918572A0794|35 39|ErbB2
P10918572A1547|146 164|TGF-alpha precursors
P10918572A1547|19 39|WT and variant TGF-alpha
P10918596A0000|26 38|p53 C-terminus
P10918599A0071|67 72|E2F-3B
P10918599A0071|23 27|E2F-3
P10918612A0000|3 24|transcription factor Jun
P10918612A0000|26 30|c-Jun
P10919971A0606|117 130|creatine kinase
P10925159A1353|7 12|MARTA1
P10925159A1353|108 113|MARTA2
P10926776A0731|9 20|PDP1 isoforms
P10930526A0174|40 51|PL scramblase
P10930526A0174|60 67|HuPLSCR1
P10931927A0655|110 164|Escherichia coli DNA polymerase I and HIV reverse transcriptase
P10931950A0869|0 3|Cdk2
P10931950A0869|94 104|T187A mutant
P10931950A0869|7 10|MAPK
P10931960A0630|136 164|herpes simplex viral protein VP16
P10932196A0359|14 21|RP2 locus
P10933728A1398|130 133|CBF2
P10933728A1398|95 110|hnRNP protein AUF1
P10933728A1398|191 208|CBF1 binding element
P10933728A1398|44 47|CBF2
P10933728A1398|243 247|EBNA2
P10933732A0000|32 36|HHV-8
P10933732A0000|145 170|interferon regulatory factor
P10935488A1033|103 108|A-FABP
P10935488A1033|35 53|PPARgamma target gene
P10935488A1033|65 101|adipocyte-type fatty acid binding protein
P10935880A1049|46 57|NCP BVDV type 1
P10938102A0265|45 68|NS1 influenza virus protein
P10938102T0000|0 39|Eukaryotic translation initiation factor 4GI
P10938102T0000|60 69|NS1 protein
P10938105A0000|38 72|fibroblast growth factor receptor 2 gene
P10938109A1361|18 24|PKCbeta
P10938109A1361|67 73|insulin
P10938109A1361|80 82|EGF
P10938113A0388|63 66|Vav3
P10938120A1093|88 90|PKA
P10938120A1093|27 38|fbp1 promoter
P10938120A1093|94 97|MAPK
P10938130A0338|36 52|PLZF BTB/POZ domain
P10938135A0259|176 204|epidermal growth factor receptor
P10938135A0259|12 15|SMRT
P10938135A0259|118 131|tyrosine kinase
P10939785A0540|46 48|ACE
P10940553A0912|91 104|human hPer1 gene
P10940557A1687|31 71|Broad Complex Z2 transcription factor elements
P10940557A1687|109 118|MO-IH genes
P10942587A0981|140 148|E7 protein
P10942599A1298|38 54|Hoxa-1 target genes
P10942599A1298|92 104|Hoxa-1 protein
P10943891A1062|12 24|U6-U57 mutants
P10944466A0451|33 42|WNT-2B gene
P10946303A0000|0 8|TNF-alpha
P10946303A0000|66 70|COX-2
P10951848A0230|35 69|granulocyte-colony stimulating factor
P10954525A1161|21 24|Tax I
P10955313A0000|0 5|PLUS-3
P10955913A0827|4 8|HIT II
P10955998A1124|78 86|S120K MutY
P10955998A1124|25 35|glycosylase
P10958688A0265|13 23|Kar2p mutant
P10958688A0265|64 74|Sls1p mutant
P10958688A0265|108 112|Sls1p
P10958698A0280|59 63|Cse4p
P10958698A0485|111 115|Cse4p
P10959838A0153|65 84|nitrilase superfamily
P10961046A0342|46 64|von Willebrand factor
P10961046A0342|33 42|fibrinogen
P10963735A0193|88 90|CRF
P10965135A0735|177 191|MAP kinase kinase
P10965135A0735|193 195|MKK
P10965135A1207|116 118|MKK
P10965135A1207|37 44|Cktsf1b1
P10965905A1618|311 319|MAP kinase
P10965905A1618|194 202|MAP kinase
P10965905A1618|284 287|PI3K
P10965905T0000|0 14|Insulin receptor
P10965905T0000|69 98|mitogen-activated protein kinase
P10972980A0295|82 108|PI) 3-kinase; protein kinases A
P10972990A0196|3 28|tumor-suppressor protein p53
P10972990A0526|156 180|phosphoribosyl transferase
P10972990A0526|12 14|p53
P10972990A0526|115 116|TK
P10972990A0526|99 113|thymidine kinase
P10972990A0966|21 30|LOH mutants
P10972990A1518|32 41|p53 protein
P10974541A0389|56 60|MZF1B
P10975465A0134|43 50|KIAA0170
P10975465A0134|3 21|human cDNA clone NFBD1
P10976413A0514|41 43|FSH
P10976413A0514|20 22|FSH
P10980416T0000|126 130|Pit-1
P10980416T0000|142 159|rat BSP gene promoter
P10982825A0363|66 68|OpA
P10982825A0363|49 63|Mot3 binding site
P10983857A0923|20 27|NCX-4016
P10983979T0000|43 60|U5 tri-snRNP defines
P10987280A0604|128 137|matrilysin
P10987301A0332|60 83|G protein-coupled receptor
P10987301A0332|233 255|endothelial growth factor
P10992299A0745|72 75|PI12
P10992299A0745|169 170|H4
P10995751A0093|64 73|C/EBP-beta
P10995751A0093|112 129|IFN response element
P10995751A0093|28 62|CCAAAT/enhancer-binding protein-beta
P10997330A0361|99 105|PML gene
P10997330A0361|39 47|STORP gene
P11000203A0752|108 119|K-Rev mutants
P11000250A0200|0 4|LMP-1
P11000250A0200|61 72|JAK molecules
P11000250A0200|94 97|AP-1
P11000250A0200|83 91|NF-kappaB
P11000266T0000|71 91|alpha-fetoprotein gene
P11000521A0588|224 251|phosphatidylinositol 3-kinase
P11000521A0588|253 262|PI 3-kinase
P11000521A0588|267 280|protein kinase B
P11000521A0588|191 195|IRS-2
P11000521A0588|164 189|insulin receptor substrate-2
P11003641A0811|45 49|Tfg1p
P11003641A0811|150 154|Fcp1p
P11003641A0811|39 43|RAP74
P11003652A0961|23 28|Cdc42p
P11003652A0961|90 98|PAK Ste20p
P11003653A0198|115 125|beta-globin
P11003653A0198|56 76|human beta-globin locus
P11003669A0000|94 112|ErbB-2 juxtamembrane
P11004369A0000|124 146|endothelial growth factor
P11005808A1082|45 51|ERK MAPK
P11005831A0242|133 137|AREB2
P11005831A0242|127 131|AREB1
P11006283A1180|0 18|Recombinant AROM-p64
P11006284T0000|99 126|phosphatidylinositol 3-kinase
P11006284T0000|70 95|insulin receptor substrate-1
P11007777A0813|87 110|aspartyl beta-hydroxylase
P11007777A0813|67 73|junctin
P11007949A1607|35 37|ILK
P11007954A0170|3 36|growth factor receptor-bound protein 2
P11007954A0170|38 41|Grb2
P11007954A0170|169 171|Ras
P11007954A0170|135 166|tyrosine kinase-activated receptor
P11007954A0170|106 108|Ras
P11007954A0170|221 223|Ras
P11007961A0930|92 95|PP2A
P11007961A0930|24 37|PR65/A subunits
P11011139A0000|32 46|SIN4 gene product
P11011139A0000|91 105|RNA polymerase II
P11012568A0192|32 35|ACTH
P11012671A0576|50 68|Gadd45gamma promoter
P11012680A0676|82 84|Src
P11012680A0676|58 60|PP2
P11012680A0676|22 25|FGF1
P11012680A0676|52 54|Src
P11012680A1020|201 204|ERK2
P11012680A1020|165 183|PLCgamma binding site
P11012680A1020|93 97|FGFR1
P11013079A0927|73 81|mouse gene
P11013079A0927|193 204|SV40 promoter
P11014213A1019|281 295|CAT reporter gene
P11014213A1019|140 162|chimeric receptors GAL-ER
P11014213A1019|257 260|GAL4
P11014213A1019|203 209|ERalpha
P11014215A1092|208 225|human GnRHR promoter
P11014215A1092|140 153|human GnRHR gene
P11014821T0000|3 21|LAMMER protein kinase
P11016850A0423|94 103|LysR family
P11016954A0438|0 3|AGO1
P11018028A0263|62 64|PKA
P11018028A0263|34 60|cAMP-dependent protein kinase
P11023832A1038|46 53|TNFalpha
P11023832A1038|165 173|NF-kappaB
P11023832A1038|121 160|mitogen-activated protein kinase (MAP kinase
P11024047A0626|64 81|luciferase reporter
P11024182A0781|15 26|collagen mRNA
P11024300A1579|195 203|TIG-1 mRNA
P11025367A1009|15 35|plasma cholecystokinin
P11027267A0752|57 66|krr1 mutant
P11027274A1682|29 38|PI 3-kinase
P11027280A0536|0 10|Cam kinase II
P11027280A0536|74 78|Smad3
P11027280A0536|49 53|Smad4
P11027280A0536|41 45|Smad2
P11027289A0321|46 49|ARM1
P11027294A0483|60 63|p300
P11027294A0483|26 49|histone acetyltransferase
P11028131A1374|109 118|IFN beta-1b
P11028131T0000|20 36|interferon beta-1b
P11029045A0000|17 20|Cdc2
P11029459A0000|31 39|TGF-beta1
P11029467T0000|84 117|nuclear factor-kappa B-dependent gene
P11029704A0378|295 298|ABI3
P11029704A0378|145 148|ABI3
P11030744A0763|16 21|Trdpm1
P11030744A0763|95 105|DPM synthase
P11031252A0646|150 157|PKC delta
P11031252A0646|26 35|PKC epsilon
P11031773A0174|43 62|formalin induced-pain
P11034392A1072|108 112|PI-3K
P11034547A0674|119 145|homeodomain recognition sites
P11034547A0674|82 101|DB1 regulatory element
P11034547A1355|118 128|DBH promoter
P11035037A0183|54 56|TBP
P11035037A0183|75 77|TBP
P11035867A0000|86 105|Braun PrecisionSensor
P11035867A0000|107 115|Braun GmbH
P11036938A1162|51 63|erbB receptors
P11038118A0000|111 122|serum albumin
P11038317A0000|41 52|RAB subfamily
P11038366A1322|89 93|Rts1p
P11038366A1417|100 103|PP2A
P11038366A1417|49 52|PP2A
P11038366A1417|18 23|Pph21p
P11040101A1180|144 146|JNK
P11040101A1180|199 206|VEGF gene
P11040101A1180|33 55|IL-1 beta induces VEGF gene
P11040101A1180|120 140|IL-1 beta evokes p38 MAPK
P11042199A0572|217 220|CREB
P11042204A0186|62 70|p38 kinase
P11043469A0440|122 123|TR
P11044097A0422|13 27|recombinant HMG I
P11044097T0000|0 26|High-mobility-group protein I
P11044105A0616|51 54|ESS1
P11046146A1202|65 75|NFI proteins
P11046148A0716|133 149|Lyn tyrosine kinase
P11046148A0716|78 88|Nedd4 family
P11046153A1052|76 90|p300 coactivator
P11049241A0659|27 35|serum PP14
P11050084A0000|19 63|peroxisome proliferator-activated receptor alpha
P11050084A0000|65 73|PPARalpha
P11050084A0888|27 35|PPARalpha
P11053370A0708|102 104|GST
P11053370A0708|77 100|glutathione S-transferase
P11054565A0654|142 150|GAP domain
P11054565A0654|85 90|GTPase
P11054565A0654|207 215|p190 genes
P11054571A0230|9 23|human teneurin-1
P11054571A0230|25 28|TEN1
P11054970A0282|76 78|NF1
P11056007A0224|146 154|Trithorax
P11056019A0926|0 3|MED1
P11056019A0926|8 22|weak glycosylase
P11058119A0957|35 51|cytoplasmic GTPase
P11058119A0957|23 26|XAB1
P11058120A0256|71 75|IRF-1
P11058120A0256|18 22|IRF-2
P11059777A0813|100 113|PAX3 repressors
P11059786A0682|0 11|VEGF promoter
P11059786A0682|105 107|Ras
P11059786A0682|100 103|EGFR
P11059786T0000|0 28|Epidermal growth factor receptor
P11059786T0000|66 88|endothelial growth factor
P11062067A0000|0 29|Stress-activated protein kinase 1
P11062067A0000|70 72|JNK
P11062067A0000|48 68|c-Jun N-terminal kinase
P11062067A0000|31 35|SAPK1
P11062068T0000|80 91|p38 MAP kinase
P11062274T0000|22 72|intra-arterial recombinant tissue plasminogen activator
P11062705A0658|43 47|ATF-2
P11063127A0000|74 91|protein phosphatase
P11063169T0000|0 14|Botulinum toxin A
P11063742A0000|0 8|NF-kappaB
P11067928A0532|71 81|Jkappa genes
P11069075T0000|19 51|Xenopus laevis CXC chemokine receptor
P11069307A0546|174 177|DED1
P11069307A0546|12 15|RNA2
P11069307A0546|95 128|BMV RNA1-encoded replication factor 1a
P11069756A2618|212 243|G-protein-coupled-receptor kinase
P11069756A2618|120 122|FAK
P11069756A2618|285 287|p38
P11069756A2618|352 380|PAK-interacting exchange factor
P11069756A2618|289 291|JNK
P11069756A2618|407 410|POR1
P11069756A2618|481 483|RTK
P11069756A2618|83 91|SRC kinase
P11069756A2618|294 296|PAK
P11069756A2618|485 518|growth factor receptor tyrosine kinase
P11069756A2618|386 405|paxillin kinase linker
P11069756A2618|69 71|CSK
P11069756A2618|281 283|ERK
P11069756A2618|96 118|Papillomavirus E6 protein
P11069756A2618|250 279|mitogen-activated protein kinase
P11069756A2618|208 210|GRK
P11069756A2618|148 160|GRK interacter
P11069756A2618|245 248|MAPK
P11069788A0531|159 164|dyn ref
P11069788A0531|25 26|SB
P11069999A1602|3 9|U17/U16
P11069999A1602|49 54|HIV LTR
P11070056A0704|54 61|Lian-Aa1
P11070056A0704|40 51|RNaseH domain
P11070056A0704|3 17|Cili-2 sequences
P11070078A1153|42 44|p53
P11071651A1308|111 117|FR-beta
P11071789T0000|30 32|ACE
P11071852A0297|65 95|reverse transcription-polymerase
P11071852A0297|113 135|human skeletal muscle mRNA
P11071924A0588|143 147|c-Cbl
P11071924A0588|18 20|SH2
P11071924A0588|81 83|SH2
P11072155A0764|42 49|TGF beta 1
P11073870A0375|31 33|PRC
P11073870A0375|47 49|PHC
P11073870A0375|92 94|PHC
P11073919A0631|113 116|Y323
P11073919A0631|88 91|E274
P11073919A0631|73 76|G236
P11073919A0631|43 46|D134
P11073919A0631|63 66|D233
P11073919A0631|48 51|R154
P11073919A0631|133 136|D361
P11073919A0631|123 126|D332
P11073919A0631|93 96|G276
P11073919A0631|68 71|G235
P11073919A0631|83 86|F238
P11073919A0631|128 131|C360
P11073954A0337|3 10|Psc2 cDNA
P11073954A0337|50 66|CP2 family proteins
P11074210A0623|87 93|insulin
P11074210A0623|47 53|insulin
P11075678A0298|80 92|B3LYP/6-31G**
P11075929A1657|32 35|ThlA
P11076860A0872|45 49|UEV1A
P11078726X0000|31 38|human p53
P11078726X0000|84 93|p53 protein
P11080796A0883|52 71|IKK regulatory protein
P11080796A1277|145 147|Tax
P11080796A1277|49 68|IKK catalytic subunits
P11080796A1277|81 87|IKKbeta
P11080796A1277|70 77|IKKalpha
P11080796A1277|171 173|IKK
P11082185A0415|80 84|IRF-1
P11083868A0386|13 36|glutathione S-transferase
P11083868A0386|82 86|Elk-1
P11084334A0590|3 14|swa2-1 allele
P11085267A0562|19 30|sconC3 mutant
P11087141A0977|18 38|alpha1,3GT transcripts
P11090172A0612|15 18|RNA1
P11090172A0612|33 36|RNA3
P11090272A1240|40 48|human ORL1
P11090272A1240|52 55|GAIP
P11092809A0823|29 32|ERKs
P11092809A0823|36 40|PI3Ks
P11092850A1023|7 17|16S rRNA gene
P11092886A0341|126 130|PEPCK
P11092886A0341|13 26|protein kinase A
P11092886A0341|93 124|phosphoenolpyruvate carboxykinase
P11093745A0563|15 22|HNF3 site
P11093745A0563|43 53|NF1/CTF site
P11094066A0505|57 90|forkhead transcription factor FKHR-L1
P11094066A0505|108 114|FKHR-L1
P11094066A0505|95 98|IL-3
P11094066A1194|59 62|KIP1
P11094066A1194|96 102|FKHR-L1
P11094072A0842|0 5|DNase I
P11094072A0842|40 48|c-Myb site
P11094072A1234|14 18|c-Myb
P11094072A1234|76 91|c-Myb binding site
P11094072A1234|31 43|RAG-2 promoter
P11094073A0000|31 47|Vav family proteins
P11094073A0000|73 104|Ros receptor protein tyrosine kinase
P11094073A0000|49 52|Vav3
P11094073A0000|106 109|RPTK
P11094075A0257|43 54|r-PTPeta gene
P11094087T0000|19 22|Rnd3
P11094091A0000|16 38|transcription factor CREB
P11094590A0617|116 118|VAP
P11094590A0617|123 125|PSB
P11095248A0423|9 25|mammalian proteins
P11095248A0423|27 31|XFGF3
P11098217A0674|3 11|Aie1 locus
P11099377T0000|49 96|proteoglycan core protein beta-d-xylosyltransferase
P11101847A0159|21 24|E2F1
P11102458A0000|196 201|PKA RII
P11102458A0000|156 194|type II regulatory subunit of protein kinase A
P11103792A0755|16 20|c-Myc
P11105129T0000|29 88|Klebsiella pneumoniae Producing Extended-Spectrum beta-lactamase
